Date,Time,Process,PowerShellCommand_Start,PowerShellCommand_Kill
2024-04-15,15:49:30.203196,python.exe,Start-Process -FilePath 'python.exe' -NoNewWindow -PassThru,Stop-Process -Id 20996 -Force
2024-04-15,15:49:30.203196,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 22628 -Force
2024-04-15,15:49:30.203196,dwm.exe,Start-Process -FilePath 'dwm.exe' -NoNewWindow -PassThru,Stop-Process -Id 1556 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 4348 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 7228 -Force
2024-04-15,15:50:31.248024,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 8412 -Force
2024-04-15,15:49:30.203196,RtkAudUService64.exe,Start-Process -FilePath 'RtkAudUService64.exe' -NoNewWindow -PassThru,Stop-Process -Id 4896 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 1728 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 2712 -Force
2024-04-15,15:50:31.248024,WmiPrvSE.exe,Start-Process -FilePath 'WmiPrvSE.exe' -NoNewWindow -PassThru,Stop-Process -Id 7012 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 5040 -Force
2024-04-15,15:49:30.203196,powershell.exe,Start-Process -FilePath 'powershell.exe' -NoNewWindow -PassThru,Stop-Process -Id 18704 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 1728 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 12628 -Force
2024-04-15,15:50:31.248024,GoogleDriveFS.exe,Start-Process -FilePath 'GoogleDriveFS.exe' -NoNewWindow -PassThru,Stop-Process -Id 13916 -Force
2024-04-15,15:49:30.203196,powershell.exe,Start-Process -FilePath 'powershell.exe' -NoNewWindow -PassThru,Stop-Process -Id 20300 -Force
2024-04-15,15:49:30.203196,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 2180 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 5040 -Force
2024-04-15,15:50:31.248024,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 5776 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 12628 -Force
2024-04-15,15:49:30.203196,git.exe,Start-Process -FilePath 'git.exe' -NoNewWindow2024-04-15,15:49:30.203196
2024-04-15,15:49:30.203196,Microsoft.SharePoint.exe,Start-Process -FilePath 'Microsoft.SharePoint.exe' -NoNewWindow -PassThru,Stop-Process -Id 1076 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 4236 -Force
2024-04-15,15:49:30.203196,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 13608 -Force
2024-04-15,15:50:31.248024,Microsoft.SharePoint.exe,Start-Process -FilePath 'Microsoft.SharePoint.exe' -NoNewWindow -PassThru,Stop-Process -Id 1076 -Force
2024-04-15,15:50:31.248024,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 12212 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 4236 -Force
2024-04-15,15:50:31.248024,OfficeClickToRun.exe,Start-Process -FilePath 'OfficeClickToRun.exe' -NoNewWindow -PassThru,Stop-Process -Id 4764 -Force
2024-04-15,15:50:31.248024,crashpad_handler.exe,Start-Process -FilePath 'crashpad_handler.exe' -NoNewWindow -PassThru,Stop-Process -Id 14344 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 16840 -Force
2024-04-15,15:50:31.248024,RuntimeBroker.exe,Start-Process -FilePath 'RuntimeBroker.exe' -NoNewWindow -PassThru,Stop-Process -Id 27080 -Force
2024-04-15,15:49:30.203196,AIoT.exe,Start-Process -FilePath 'AIoT.exe' -NoNewWindow -PassThru,Stop-Process -Id 13948 -Force
2024-04-15,15:49:30.203196,RuntimeBroker.exe,Start-Process -FilePath 'RuntimeBroker.exe' -NoNewWindow -PassThru,Stop-Process -Id 12732 -Force
2024-04-15,15:50:31.248024,IntelCpHDCPSvc.exe,Start-Process -FilePath 'IntelCpHDCPSvc.exe' -NoNewWindow -PassThru,Stop-Process -Id 2428 -Force
2024-04-15,15:49:30.203196,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 16988 -Force
2024-04-15,15:50:31.248024,conhost.exe,Start-Process -FilePath 'conhost.exe' -NoNewWindow -PassThru,Stop-Process -Id 19800 -Force
2024-04-15,15:49:30.203196,conhost.exe,Start-Process -FilePath 'conhost.exe' -NoNewWindow -PassThru,Stop-Process -Id 19380 -Force
2024-04-15,15:49:30.203196,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 23932 -Force
2024-04-15,15:50:31.248024,SnippingTool.exe,Start-Process -FilePath 'SnippingTool.exe' -NoNewWindow -PassThru,Stop-Process -Id 10516 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 2272 -Force
2024-04-15,15:50:31.248024,EpicWebHelper.exe,Start-Process -FilePath 'EpicWebHelper.exe' -NoNewWindow -PassThru,Stop-Process -Id 22316 -Force
2024-04-15,15:50:31.248024,ctfmon.exe,Start-Process -FilePath 'ctfmon.exe' -NoNewWindow -PassThru,Stop-Process -Id 11388 -Force
2024-04-15,15:49:30.203196,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 18288 -Force
